cod_ine,fecha,municipio,confirmados,departamento,poblacion
31403,2020-05-12,San Benito,1,Cochabamba,17085
31403,2020-05-14,San Benito,1,Cochabamba,17085
31403,2020-05-15,San Benito,5,Cochabamba,17085
31403,2020-05-16,San Benito,1,Cochabamba,17085
31403,2020-06-09,San Benito,2,Cochabamba,17085
31403,2020-06-18,San Benito,1,Cochabamba,17085
31403,2020-06-26,San Benito,1,Cochabamba,17085
31403,2020-06-27,San Benito,1,Cochabamba,17085
31403,2020-06-28,San Benito,14,Cochabamba,17085
31403,2020-06-30,San Benito,1,Cochabamba,17085
31403,2020-07-09,San Benito,1,Cochabamba,17085
31403,2020-07-11,San Benito,3,Cochabamba,17085
31403,2020-07-14,San Benito,4,Cochabamba,17085
31403,2020-07-16,San Benito,6,Cochabamba,17085
31403,2020-07-17,San Benito,2,Cochabamba,17085
31403,2020-07-21,San Benito,7,Cochabamba,17085
31403,2020-07-25,San Benito,1,Cochabamba,17085
31403,2020-07-27,San Benito,25,Cochabamba,17085
31403,2020-07-30,San Benito,4,Cochabamba,17085
31403,2020-07-31,San Benito,4,Cochabamba,17085
31403,2020-08-01,San Benito,11,Cochabamba,17085
31403,2020-08-04,San Benito,2,Cochabamba,17085
31403,2020-08-09,San Benito,1,Cochabamba,17085
31403,2020-08-19,San Benito,1,Cochabamba,17085
31403,2020-08-28,San Benito,2,Cochabamba,17085
31403,2020-09-03,San Benito,1,Cochabamba,17085
31403,2020-09-10,San Benito,2,Cochabamba,17085
31403,2020-09-13,San Benito,1,Cochabamba,17085
31403,2020-09-23,San Benito,3,Cochabamba,17085
31403,2020-09-24,San Benito,1,Cochabamba,17085
31403,2020-09-29,San Benito,3,Cochabamba,17085
31403,2020-10-01,San Benito,1,Cochabamba,17085
31403,2020-10-02,San Benito,3,Cochabamba,17085
31403,2020-10-20,San Benito,1,Cochabamba,17085
31403,2020-11-04,San Benito,2,Cochabamba,17085
31403,2021-01-06,San Benito,2,Cochabamba,17085
31403,2021-01-08,San Benito,1,Cochabamba,17085
31403,2021-01-13,San Benito,4,Cochabamba,17085
31403,2021-01-14,San Benito,4,Cochabamba,17085
31403,2021-01-17,San Benito,4,Cochabamba,17085
31403,2021-01-19,San Benito,8,Cochabamba,17085
31403,2021-01-20,San Benito,8,Cochabamba,17085
31403,2021-01-22,San Benito,2,Cochabamba,17085
31403,2021-01-26,San Benito,1,Cochabamba,17085
31403,2021-01-27,San Benito,2,Cochabamba,17085
31403,2021-01-28,San Benito,1,Cochabamba,17085
31403,2021-01-29,San Benito,1,Cochabamba,17085
31403,2021-02-01,San Benito,1,Cochabamba,17085
31403,2021-02-02,San Benito,1,Cochabamba,17085
31403,2021-02-06,San Benito,1,Cochabamba,17085
31403,2021-02-08,San Benito,4,Cochabamba,17085
31403,2021-02-09,San Benito,2,Cochabamba,17085
31403,2021-02-10,San Benito,2,Cochabamba,17085
31403,2021-02-11,San Benito,2,Cochabamba,17085
31403,2021-02-15,San Benito,1,Cochabamba,17085
31403,2021-02-18,San Benito,4,Cochabamba,17085
31403,2021-02-20,San Benito,6,Cochabamba,17085
31403,2021-02-22,San Benito,2,Cochabamba,17085
31403,2021-02-24,San Benito,1,Cochabamba,17085
31403,2021-03-02,San Benito,1,Cochabamba,17085
31403,2021-03-04,San Benito,1,Cochabamba,17085
31403,2021-03-06,San Benito,1,Cochabamba,17085
31403,2021-03-08,San Benito,3,Cochabamba,17085
31403,2021-03-09,San Benito,2,Cochabamba,17085
31403,2021-03-15,San Benito,4,Cochabamba,17085
31403,2021-03-16,San Benito,1,Cochabamba,17085
31403,2021-03-22,San Benito,4,Cochabamba,17085
31403,2021-03-24,San Benito,2,Cochabamba,17085
31403,2021-03-25,San Benito,2,Cochabamba,17085
31403,2021-04-05,San Benito,2,Cochabamba,17085
31403,2021-04-07,San Benito,1,Cochabamba,17085
31403,2021-04-09,San Benito,2,Cochabamba,17085
31403,2021-04-12,San Benito,5,Cochabamba,17085
31403,2021-04-13,San Benito,5,Cochabamba,17085
31403,2021-04-16,San Benito,3,Cochabamba,17085
31403,2021-04-23,San Benito,2,Cochabamba,17085
31403,2021-04-26,San Benito,1,Cochabamba,17085
31403,2021-04-27,San Benito,1,Cochabamba,17085
31403,2021-04-30,San Benito,1,Cochabamba,17085
31403,2021-05-03,San Benito,7,Cochabamba,17085
31403,2021-05-04,San Benito,3,Cochabamba,17085
31403,2021-05-05,San Benito,2,Cochabamba,17085
31403,2021-05-06,San Benito,4,Cochabamba,17085
31403,2021-05-11,San Benito,9,Cochabamba,17085
31403,2021-05-12,San Benito,3,Cochabamba,17085
31403,2021-05-13,San Benito,6,Cochabamba,17085
31403,2021-05-14,San Benito,4,Cochabamba,17085
31403,2021-05-17,San Benito,11,Cochabamba,17085
31403,2021-05-18,San Benito,10,Cochabamba,17085
31403,2021-05-19,San Benito,7,Cochabamba,17085
31403,2021-05-20,San Benito,8,Cochabamba,17085
31403,2021-05-21,San Benito,5,Cochabamba,17085
31403,2021-05-22,San Benito,2,Cochabamba,17085
31403,2021-05-24,San Benito,9,Cochabamba,17085
31403,2021-05-25,San Benito,12,Cochabamba,17085
31403,2021-05-26,San Benito,7,Cochabamba,17085
31403,2021-05-27,San Benito,2,Cochabamba,17085
31403,2021-05-30,San Benito,6,Cochabamba,17085
31403,2021-06-01,San Benito,4,Cochabamba,17085
31403,2021-06-02,San Benito,17,Cochabamba,17085
31403,2021-06-03,San Benito,7,Cochabamba,17085
31403,2021-06-04,San Benito,6,Cochabamba,17085
31403,2021-06-05,San Benito,1,Cochabamba,17085
31403,2021-06-06,San Benito,2,Cochabamba,17085
31403,2021-06-07,San Benito,8,Cochabamba,17085
31403,2021-06-08,San Benito,9,Cochabamba,17085
31403,2021-06-09,San Benito,7,Cochabamba,17085
31403,2021-06-10,San Benito,4,Cochabamba,17085
31403,2021-06-11,San Benito,2,Cochabamba,17085
31403,2021-06-12,San Benito,2,Cochabamba,17085
31403,2021-06-13,San Benito,5,Cochabamba,17085
31403,2021-06-14,San Benito,6,Cochabamba,17085
31403,2021-06-15,San Benito,3,Cochabamba,17085
31403,2021-06-16,San Benito,3,Cochabamba,17085
31403,2021-06-17,San Benito,1,Cochabamba,17085
31403,2021-06-22,San Benito,5,Cochabamba,17085
31403,2021-06-26,San Benito,7,Cochabamba,17085
31403,2021-06-27,San Benito,3,Cochabamba,17085
31403,2021-06-29,San Benito,12,Cochabamba,17085
31403,2021-07-01,San Benito,3,Cochabamba,17085
31403,2021-07-02,San Benito,3,Cochabamba,17085
31403,2021-07-05,San Benito,5,Cochabamba,17085
31403,2021-07-07,San Benito,5,Cochabamba,17085
31403,2021-07-09,San Benito,6,Cochabamba,17085
31403,2021-07-11,San Benito,1,Cochabamba,17085
31403,2021-07-12,San Benito,10,Cochabamba,17085
31403,2021-07-14,San Benito,4,Cochabamba,17085
31403,2021-07-16,San Benito,3,Cochabamba,17085
31403,2021-07-19,San Benito,1,Cochabamba,17085
31403,2021-07-20,San Benito,1,Cochabamba,17085
31403,2021-07-21,San Benito,2,Cochabamba,17085
31403,2021-07-28,San Benito,1,Cochabamba,17085
31403,2021-07-29,San Benito,1,Cochabamba,17085
31403,2021-08-02,San Benito,8,Cochabamba,17085
31403,2021-08-03,San Benito,1,Cochabamba,17085
31403,2021-08-05,San Benito,1,Cochabamba,17085
31403,2021-08-09,San Benito,2,Cochabamba,17085
31403,2021-08-10,San Benito,1,Cochabamba,17085
31403,2021-08-13,San Benito,1,Cochabamba,17085
31403,2021-08-15,San Benito,1,Cochabamba,17085
31403,2021-08-16,San Benito,3,Cochabamba,17085
31403,2021-08-17,San Benito,4,Cochabamba,17085
31403,2021-08-18,San Benito,3,Cochabamba,17085
31403,2021-08-21,San Benito,2,Cochabamba,17085
31403,2021-08-24,San Benito,4,Cochabamba,17085
31403,2021-08-25,San Benito,2,Cochabamba,17085
31403,2021-08-26,San Benito,1,Cochabamba,17085
31403,2021-08-27,San Benito,1,Cochabamba,17085
31403,2021-08-28,San Benito,1,Cochabamba,17085
31403,2021-08-30,San Benito,2,Cochabamba,17085
31403,2021-08-31,San Benito,2,Cochabamba,17085
31403,2021-09-01,San Benito,2,Cochabamba,17085
31403,2021-09-02,San Benito,4,Cochabamba,17085
31403,2021-09-07,San Benito,2,Cochabamba,17085
31403,2021-09-08,San Benito,1,Cochabamba,17085
31403,2021-09-13,San Benito,5,Cochabamba,17085
31403,2021-09-16,San Benito,1,Cochabamba,17085
31403,2021-09-20,San Benito,1,Cochabamba,17085
31403,2021-09-22,San Benito,2,Cochabamba,17085
31403,2021-09-23,San Benito,1,Cochabamba,17085
31403,2021-09-24,San Benito,1,Cochabamba,17085
31403,2021-09-27,San Benito,1,Cochabamba,17085
31403,2021-09-28,San Benito,5,Cochabamba,17085
31403,2021-09-29,San Benito,4,Cochabamba,17085
31403,2021-09-30,San Benito,2,Cochabamba,17085
31403,2021-10-05,San Benito,1,Cochabamba,17085
31403,2021-10-06,San Benito,1,Cochabamba,17085
31403,2021-10-08,San Benito,1,Cochabamba,17085
31403,2021-10-11,San Benito,1,Cochabamba,17085
31403,2021-10-12,San Benito,1,Cochabamba,17085
31403,2021-10-19,San Benito,1,Cochabamba,17085
31403,2021-11-01,San Benito,1,Cochabamba,17085
31403,2021-11-03,San Benito,1,Cochabamba,17085
31403,2021-11-05,San Benito,1,Cochabamba,17085
31403,2021-11-06,San Benito,2,Cochabamba,17085
31403,2021-11-08,San Benito,1,Cochabamba,17085
31403,2021-11-09,San Benito,4,Cochabamba,17085
31403,2021-11-15,San Benito,5,Cochabamba,17085
31403,2021-11-16,San Benito,8,Cochabamba,17085
31403,2021-11-17,San Benito,10,Cochabamba,17085
31403,2021-11-18,San Benito,1,Cochabamba,17085
31403,2021-11-19,San Benito,3,Cochabamba,17085
31403,2021-11-22,San Benito,2,Cochabamba,17085
31403,2021-11-23,San Benito,2,Cochabamba,17085
31403,2021-11-25,San Benito,5,Cochabamba,17085
31403,2021-11-26,San Benito,2,Cochabamba,17085
31403,2021-11-27,San Benito,1,Cochabamba,17085
31403,2021-11-29,San Benito,1,Cochabamba,17085
31403,2021-12-01,San Benito,1,Cochabamba,17085
31403,2021-12-02,San Benito,1,Cochabamba,17085
31403,2021-12-03,San Benito,1,Cochabamba,17085
31403,2021-12-06,San Benito,1,Cochabamba,17085
31403,2021-12-07,San Benito,1,Cochabamba,17085
31403,2021-12-08,San Benito,2,Cochabamba,17085
31403,2021-12-09,San Benito,1,Cochabamba,17085
31403,2021-12-10,San Benito,1,Cochabamba,17085
